Campaign,Measurement,Month1,Month2,Rev_YTD,Rev,Rev_2023,Rev_2024,Flagging_Campaign,Source,RFS_Date,Created_Date,Last_Stage_Change_Date,Opportunity_ID,SF_Opportunity_Id,Campaign_Name,Opportunity_Name,CA_Number,Account_Name,Sub_Line_of_Business,Owner_Group,Opportunity_Owner:_Division,Product_Offer,Opportunity_Owner,Stage,Stage_Count,Opportunity_Quantity,Estimated_Contract_Period_(in_Months),Total_Contract_Value_(converted),Total_OTC_(converted),Total_MRC_(converted),New_Group
2023BDx,NO,4,Apr,50000000,250000000,1850000000,600000000,No,All Pipelines SOM,4/30/2023,2/6/2023,2/6/2023,0065g00000UtLke,0065g00000UtLkeAAF,2023BDx,Colocation - DCConnect Global Ltd Pte,,DCCONNECT GLOBAL LTD. PTE,Global Service Provider,NATIONAL ENTERPRISE ACCOUNT,FINANCIAL & RETAIL BUSINESS,DC Colocation (Rack Based) Offer,82157176 (ANNISA KUSUMADEWI),Develop,1,10,12,2450000000,50000000,200000000,NEA
2023BDx,FAB,3,Mar,41000000,41000000,365000000,72000000,No,All Pipelines SOM,3/10/2023,2/13/2023,3/6/2023,0065g00000WSh0U,0065g00000WSh0UAAT,2023BDx,Colo 1 rack PT Harmoni Panca Utama,MTX10410799,HARMONI PANCA UTAMA,Agents/Distributors,NATIONAL ENTERPRISE ACCOUNT,RESOURCES & MANUFACTURING,DC Colocation (Rack Based) Offer - IDR,2622200030 (LUCKY MEIFANY FERBA),Complete,1,1,12,245000000,5000000,36000000,NEA
2023BDx,NO,9,Sept,0,362268000,927072000,1506144000,No,All Pipelines SOM,9/30/2023,2/7/2023,2/7/2023,0065g00000UtNop,0065g00000UtNopAAF,2023BDx,ISPL Colocation 12 Rack x 60 KVA,MTX07715013,INDOSAT SINGAPORE PTE LTD,Other Technologies,WHOLESALE & CARRIER ACCOUNT,INTERNATIONAL WHOLESALE,DC Colocation (Rack Based) Offer - IDR,93218398 (ADISTI PRADANARI PUTRI),Value,1,1,12,2433216000,174000000,188268000,WCA
2023RacingIDA,FAB,2,Feb,100000000,100000000,100000000,0,No,All Pipelines SOM,2/15/2023,2/15/2023,2/15/2023,0065g00000WSjyL,0065g00000WSjyLAAT,2023RacingIDA,GOOGLE_iDA ISMAYA Group,,ISMAYA GROUP,,NATIONAL ENTERPRISE ACCOUNT,SUPPLY CHAIN & SERVICES,Big Data Offer-Lead Generation,95208373 (ALURA STACIA KANDOU),Complete,1,1,1,100000000,100000000,0,NEA
2023RacingIDA,FAB,2,Feb,10000000,5000000,55000000,5000000,No,All Pipelines SOM,2/22/2023,2/2/2023,3/3/2023,0065g00000UtE0N,0065g00000UtE0NAAV,2023RacingIDA,IDA - WA BLAST,,LABELLE GLOBAL UTAMA,Public Health Center,REGIONAL ENTERPRISE ACCOUNT,JABODETABEK,Big Data Offer-Lead Generation,89229279 LIBRIA PUSPA TIRTA,Complete,1,1,12,60000000,0,5000000,REA
2023BDx,NO,12,Dec,0,1.27253E+11,1.27253E+11,0,No,All Pipelines SOM,12/20/2023,2/2/2023,2/2/2023,0065g00000UtEhw,0065g00000UtEhwAAF,2023BDx,NTT - Tj Bemban CLS Tender,MTX08688879,NTT GLOBAL NETWORKS INCORPORATED,Global Service Provider,WHOLESALE & CARRIER ACCOUNT,INTERNATIONAL WHOLESALE,DC Colocation (Space Based) Offer - IDR,83075994 (BUDI PRASETYO),Value,1,1,180,1.27253E+11,1.27253E+11,0,WCA
2023RacingIDA,NO,7,Jul,0,20000000,0,0,No,All Pipelines SOM,7/31/2023,2/28/2023,3/21/2023,0065g00000Wfjv1,0065g00000Wfjv1AAB,2023RacingIDA,Pegadaian_Data Anlyttic,MTX07739852,PEGADAIAN (PERSERO),MIG-CAT2-2015,STRATEGIC ENTERPRISE ACCOUNT,PUBLIC SECTOR,Big Data Offer-Business Insight Enrichment,79157154 (KUSYONO),Qualify,1,1,,0,0,20000000,SEA
2023RacingIDA,NO,5,May,0,1.25E+08,3.00E+08,100000000,No,All Pipelines SOM,5/31/2023,2/28/2023,2/28/2023,0065g00000WfkDo,0065g00000WfkDoAAJ,2023RacingIDA,Digital marketing and Big data,MTX07726942,PERTAMINA RETAIL,Mining and Oil & Gas,STRATEGIC ENTERPRISE ACCOUNT,ENERGY & LAW ENFORCEMENT,Big Data Offer-Business Insight Enrichment,84208383 (AULIA ARMIS),Develop,1,1,12,4.00E+08,1.00E+08,25000000,KPSE
2023RacingIDA,NO,2,Feb,82500000,41250000,41250000,0,No,All Pipelines SOM,2/28/2023,2/28/2023,3/5/2023,0065g00000WfkNx,0065g00000WfkNxAAJ,2023RacingIDA,Indosat Digital Analytics,MTX02828207,PT. SHAFIRA LARAS PERSADA,Trading Wholesaler,REGIONAL ENTERPRISE ACCOUNT,JABODETABEK,Big Data Offer-Lead Generation,0257220032 (RAHMI WELLINA PUTRI),Value,1,50000,1,41250000,0,41250000,SMB
2023BDx,FAB,4,Apr,600000000,1200000000,6000000000,1800000000,No,All Pipelines SOM,4/30/2023,2/28/2023,2/28/2023,0065g00000WflAk,0065g00000WflAkAAJ,2023BDx,KEBUTUHAN DATA CENTER DI KPPTI - BNI,MTX07713391,PT BANK NEGARA INDONESIA ( PERSERO) TBK,"Commercial, saving & Dev. Bank",STRATEGIC ENTERPRISE ACCOUNT,STRATEGIC BANKING & FINANCIAL INSTITUTION,DC Colocation (Space Based) Offer,85126334 (SARI RACHMAWATI),Complete,1,1,12,7800000000,600000000,600000000,SEA
2023RacingIDA,FAB,2,Feb,300000000,300000000,300000000,0,No,All Pipelines SOM,2/28/2023,2/28/2023,2/28/2023,0065g00000WflBY,0065g00000WflBYAAZ,2023RacingIDA,GOOGLE_CREDIT SCORING - BNI,MTX07713391,PT BANK NEGARA INDONESIA ( PERSERO) TBK,"Commercial, saving & Dev. Bank",STRATEGIC ENTERPRISE ACCOUNT,STRATEGIC BANKING & FINANCIAL INSTITUTION,Big Data Offer-Telco Scoring,85126334 (SARI RACHMAWATI),Complete,1,1,3,300000000,300000000,0,SEA
2023RacingIDA,LOST,2,Feb,2,1,1,0,No,All Pipelines SOM,2/21/2023,2/2/2023,2/6/2023,0065g00000UtDm6,0065g00000UtDm6AAF,2023RacingIDA,BIG DATA FOR 1 YEAR,MTX09712347,ROYAL CHIRAG TEKNOLOGI,Trading Wholesaler,STRATEGIC ENTERPRISE ACCOUNT,STRATEGIC GROUP COMPANY ACCOUNT,Big Data Offer-Lead Generation,90208388 (SUROYYA JUNAIDI),Closed Lost,1,1,1,1,0,1,SEA
