Activity,Oppty,Corp Name,Group,WEST REGIONAL,Department,Month of event,Program Name,STAGE ,Actual Cost,Revenue
JPS,0065g00000P4iMtAAJ,Kab. Pekalongan,REA,EAST REGIONAL,CENTRAL JAVA,Des'22,JPS Kab. Pekalongan,Cash,5850000,135600000
JPS,0065g00000SdFYwAAN,Kab. Pekalongan,REA,EAST REGIONAL,CENTRAL JAVA,Des'22,JPS Kab. Pekalongan,Complete,,200000000
JPS,0065g00000SdG5mAA,Kab. Pekalongan,REA,WEST REGIONAL,CENTRAL JAVA,Des'22,JPS Kab. Pekalongan,Qualify,,100000000
Loyalty,0065g00000Sec6sAAB,PT. Akses Cipta Solusi,REA,WEST REGIONAL,WEST JAVA,Des'22,Loyalty Prog. PT. Akses Cipta Solusi,Complete,3935000,60000000
Loyalty,0065g00000UtOuiAAF,PT. Cemerlang Multimedia,REA,WEST REGIONAL,WEST JAVA,Des'22,Loyalty PT. Cemerlang Multimedia,Complete,,30000000
Loyalty,0065g00000Ur1gaAAB,Bendahara STT Tekstil,REA,WEST REGIONAL,WEST JAVA,Des'22,Loyalty Prog. Bendahara STT Tekstil,Complete,4930000,35000000
Loyalty,0065g00000MIEXqAAP,Bendahara STT Tekstil,REA,WEST REGIONAL,WEST JAVA,Des'22,Loyalty Prog. Bendahara STT Tekstil,Closed Lost,,48500000
Loyalty,0065g00000WgiPMAAZ,PT. Cemerlang Abadi Mulia,REA,GOVERNMENT & PUBLIC SECTOR,WEST JAVA,Des'22,Loyalty Prog. PT. Cemerlang Abadi Mulia,Complete,4510000,96000000
JPS,0065g00000P3YgmAAF,PT. KAI,KPSA,MEDIA & ENERGY,MINISTRY & GOVERNMENT AGENCY,Januari,JPS PT. KAI,Closed Lost,18360000,50000000000
JPS,0065g00000SeSLsAAN,BIN (Badan Intelijen Nasional),KPSA,MEDIA & ENERGY,MEDIA & ENERGY,Januari,JPS BIN,Complete,11934000,1100000000
JPS,0065g00000P3gxVAAR,BIN (Badan Intelijen Nasional),KPSA,MEDIA & ENERGY,MEDIA & ENERGY,Januari,JPS BIN,Closed Lost,,3500000000
JPS,0065g00000P3gyhAAB,BIN (Badan Intelijen Nasional),KPSA,EAST REGIONAL,MEDIA & ENERGY,Januari,JPS BIN,Complete,,3500000000
JPS,0065g00000UsxypAAB,Kab. Blitar,REA,MEDIA & ENERGY,EAST JAVA,Januari,Sosialisasi Kab. Blitar,Complete,14040000,100000000
JPS,0065g00000Uqu2uAAB,PT. Pertamina Geothermal,KPSA,MEDIA & ENERGY,OIL & GAS,Januari,JPS PT. Pertamina Geothermal,Cash,36536400,200000000
JPS,0065g00000Uqs7eAAB,PT. Pertamina Geothermal,KPSA,MEDIA & ENERGY,OIL & GAS,Januari,JPS PT. Pertamina Geothermal,Closed Lost,,200000000
JPS,0065g00000UrbXxAAJ,PT. Pertamina Geothermal,KPSA,MEDIA & ENERGY,OIL & GAS,Januari,JPS PT. Pertamina Geothermal,Cash,,2500000000
JPS,0065g00000UrbYCAAZ,PT. Pertamina Geothermal,KPSA,MEDIA & ENERGY,OIL & GAS,Januari,JPS PT. Pertamina Geothermal,Complete,,100000000
JPS,0065g00000Ut8KRAAZ,PT. Pertamina Geothermal,KPSA,WEST REGIONAL,OIL & GAS,Januari,JPS PT. Pertamina Geothermal,Value,,100000000
Sponsorship,0065g00000MHja0AAD,Institut Agama Islam Negeri Metro,REA,WEST REGIONAL,SOUTHERN SUMATERA,Januari,(Dirpay) Sponsorship FGD IAIN Metro,Closed Lost,22000000,360000000
Loyalty,0065g00000UqlmnAAB,PT. Terminal Teluk Lamong,REA,BANKING & FINANCIAL INSTITUTION,WEST JAVA,Januari,Loyalty Prog. PT. Terminal Teluk Lamong,Complete,5473684,355000000
JPS,0065g00000LpNf2AAF,Bank DBS,NEA,BANKING & FINANCIAL INSTITUTION,FINANCE & MULTINATIONAL BANK,Januari,JPS Bank DBS,Closed Lost,30132000,100000000
JPS,0065g00000Scv8IAAR,Bank DBS,NEA,BANKING & FINANCIAL INSTITUTION,FINANCE & MULTINATIONAL BANK,Januari,JPS Bank DBS,Complete,,245000000
JPS,0065g00000MIERNAA5,Bank DBS,NEA,BANKING & FINANCIAL INSTITUTION,FINANCE & MULTINATIONAL BANK,Januari,JPS Bank DBS,Complete,,200000000
Loyalty,0065g00000Wi25GAAR,PT. AXA,NEA,BANKING & FINANCIAL INSTITUTION,FINANCE & MULTINATIONAL BANK,Januari,Loyalty PT. AXA,Identify,21400000,5342668217
Loyalty,0065g00000Wg5BzAAJ,PT. AXA,NEA,BANKING & FINANCIAL INSTITUTION,FINANCE & MULTINATIONAL BANK,Januari,Loyalty PT. AXA,Develop,,7000000
Loyalty,0065g00000MHmWmAAL,PT. AXA,NEA,BANKING & FINANCIAL INSTITUTION,FINANCE & MULTINATIONAL BANK,Januari,Loyalty PT. AXA,Closed Lost,,300000000
Loyalty,0065g00000WhPO7AAN,PT. AXA,NEA,Div Supply Chain and Services,FINANCE & MULTINATIONAL BANK,Januari,Loyalty PT. AXA,Cash,,17500000
Loyalty,0065g00000UsmR0AAJ,PT. Prodia Widyahusada,REA,Div Supply Chain and Services,Dept. Digital Media & Services-Div. Supply Chain & Services,Januari,Loyalty PT. Prodia Widyahusada,Complete,20100000,505801760
Loyalty,0065g00000Wg5lgAAB,PT. Prodia Widyahusada,REA,WEST REGIONAL,Dept. Digital Media & Services-Div. Supply Chain & Services,Januari,Loyalty PT. Prodia Widyahusada,Value,,16000000
JPS,0065g00000MHEKSAA5,Universitas Siliwangi Tasik Malaya,REA,WEST REGIONAL,WEST JAVA,Januari,GWS Univ. Siliwangi Tasikmalaya,Cash,11340000,360344100
JPS,0065g00000SdqCLAAZ,Universitas Siliwangi Tasik Malaya,REA,BANKING & FINANCIAL INSTITUTION,WEST JAVA,Januari,GWS Univ. Siliwangi Tasikmalaya,Complete,,163063063
JPS,0065g00000UqqCBAAZ,PT. G4S Security Service,NEA,BANKING & FINANCIAL INSTITUTION,FINANCE & MULTINATIONAL BANK,Februari,(DirPay) JPS PT. G4S SECURITY SERVICES,Cash,40500000,950000000
JPS,0065g00000WfVunAAF,PT. G4S Security Service,NEA,BANKING & FINANCIAL INSTITUTION,FINANCE & MULTINATIONAL BANK,Februari,(DirPay) JPS PT. G4S SECURITY SERVICES,Identify,,5000050000
JPS,0065g00000WfVvlAAF,PT. G4S Security Service,NEA,Div. Business & Operation (SMB),FINANCE & MULTINATIONAL BANK,Februari,(DirPay) JPS PT. G4S SECURITY SERVICES,Identify,,10864512
JPS,0065g00000UqmHvAAJ,Dinas Lombok Timur,SMB,Div. Business & Operation (SMB),Jabotabtek & West Java (SMB),Februari,(DirPay)Signing PKS Kab Lombok & Mtrm,Complete,10800000,210000000
JPS,0065g00000UtOYmAAN,Kota Mataram,SMB,JABODETABEK,Jabotabtek & West Java (SMB),Februari,(DirPay)Signing PKS Kab Lombok & Mtrm,Cash,,99300000
Loyalty,0065g00000WfheZAAR,PT. TKE Elevator,REA,JABODETABEK,JAKARTA,Februari,Loyalty PT ThyssenKrupp Elevator Indonesia,Complete,8925000,250000000
Loyalty,0065g00000Ura1TAAR,PT. TKE Elevator,REA,JABODETABEK,JAKARTA,Februari,Loyalty PT ThyssenKrupp Elevator Indonesia,Closed Won,,500000000
Loyalty,0065g00000Ura1TAAR,PT. TKE Elevator,REA,JABODETABEK,JAKARTA,Februari,Loyalty PT ThyssenKrupp Elevator Indonesia,Closed Won,,0
